gene_id,P_time0,P_time1,P_time2,P_time3,P_time4,P_time5,P_time6,increase,y0,True_diff_t6,True_bias_diff_t6,True_obs_diff_t6
ENSDARG00000043213,11.479185104370117,28.344985961914062,54.464778900146484,70.42186737060547,59.38636779785156,49.90176010131836,44.804046630859375,0.3440769608802934,7.2966657999999995,0.0,0.11297367399884396,0.7167144656509163
ENSDARG00000010862,10.19511604309082,17.911136627197266,29.50196075439453,38.784366607666016,31.79731559753418,24.086841583251953,18.950603485107422,0.29262512776351474,14.54382,0.01588163836825137,0.41420806577372415,0.9432272846739062
ENSDARG00000074915,7.335052013397217,11.292859077453613,17.005950927734375,24.19316864013672,30.613300323486328,36.71002960205078,42.751468658447266,0.17636684647932543,10.83236,1.0497423845227473e-05,0.12312849703342245,0.723624421124815
ENSDARG00000103207,10.456184387207031,18.291959762573242,30.029197692871094,43.4512825012207,52.07936096191406,57.96113586425781,62.46232986450195,0.30326508590214096,12.160062,5.708557584503778e-07,0.06325576545287509,0.9675859165530664
ENSDARG00000005993,7.218697547912598,11.622564315795898,18.238672256469727,22.37123680114746,17.60316276550293,13.584060668945312,11.063026428222656,0.17178197439932744,7.568675999999999,0.3287280241492789,0.37395867648032804,0.582465578190504
ENSDARG00000008573,10.987115859985352,18.003816604614258,28.03518295288086,37.11042404174805,34.39442443847656,29.385072708129883,25.493141174316406,0.32457528282565146,14.552409599999999,0.0,0.2789019051301915,0.9629513031768449
ENSDARG00000076290,8.769230842590332,15.31105899810791,25.346141815185547,35.85357666015625,36.6972770690918,34.630592346191406,32.85212326049805,0.23436247747404929,17.06014,0.0,0.19031884966344753,0.8218664030873527
ENSDARG00000030267,4.681370258331299,8.732306480407715,15.701579093933105,25.45013427734375,33.28723907470703,39.6057243347168,45.11410140991211,0.08023662099302278,3.5674662000000006,2.1022366596780882e-05,0.11007703616694346,0.7372343909846486
ENSDARG00000039892,5.596248149871826,10.115361213684082,17.627134323120117,27.836183547973633,36.36460876464844,43.639503479003906,50.129302978515625,0.11083256151259503,3.9066064000000003,1.0497705980683789e-05,0.09316029313029442,0.8730418625390514
ENSDARG00000071562,15.470422744750977,22.07682991027832,24.456575393676758,22.880544662475586,23.53291130065918,23.393640518188477,23.42780876159668,0.4879168918364531,48.881299999999996,0.2500190759270634,0.15866027289313048,0.744892235058919
ENSDARG00000009266,14.351561546325684,19.443126678466797,25.799333572387695,32.053611755371094,34.24597930908203,35.03197479248047,35.72207260131836,0.4505062734604236,25.883000000000003,1.0954173579967325e-05,0.1685595699909286,0.9340041409824712
ENSDARG00000105276,8.428916931152344,12.996475219726562,19.508935928344727,27.653066635131836,35.15995407104492,42.23006820678711,48.966941833496094,0.22043138817976782,8.361906000000001,0.0,0.09505325253864351,0.8772416170076697
ENSDARG00000036155,8.414074897766113,14.721555709838867,24.326574325561523,24.789684295654297,12.02153205871582,6.214045524597168,3.734750747680664,0.21985916008125703,9.376957999999998,0.832158845102423,0.11221244705013678,0.1106246086516347
ENSDARG00000069328,7.429944038391113,15.710358619689941,30.12590980529785,43.16062927246094,35.85961151123047,27.320783615112305,21.76280403137207,0.1801779930882269,5.309586,3.728129037795138e-05,0.35042406496937983,0.8973956065350737
ENSDARG00000052025,12.638725280761719,26.870956420898438,48.13406753540039,62.337677001953125,51.45290756225586,41.19264602661133,35.06795883178711,0.3886911548075527,33.895680000000006,0.0,0.17126612149489784,0.63488298043798
ENSDARG00000022845,6.417033672332764,13.267254829406738,25.408843994140625,39.68714141845703,42.87674331665039,42.080474853515625,41.25815200805664,0.1408264352377042,4.0469856,0.0,0.129238221340274,0.9159023260872625
ENSDARG00000025788,17.711889266967773,29.728261947631836,45.28973388671875,55.26496124267578,45.12954330444336,34.96358108520508,28.311548233032227,0.5553185997836663,26.378000000000004,0.0,0.24045127755725273,0.9531708127947907
