GeneID,NRMSE,NRMSE_lower,NRMSE_upper,LogLik,LogLik_lower,LogLik_upper,BIC,BIC_lower,BIC_upper
ENSDARG00000001313,0.26407454463856855,0.11175888188642881,0.4363247169108077,-14.500785,-18.364437103271484,-11.293039321899414,32.29740624485717,25.881915509803157,40.0247110725473
ENSDARG00000002021,0.24853563553815847,0.11233618483848735,0.397487100712465,-12.38795,-15.586143493652344,-9.927547454833984,28.071737374169683,23.150931775672298,34.46812385330902
ENSDARG00000002298,0.2570400626701398,0.08864733946434437,0.4574175995148283,-7.699423,-10.033896446228027,-6.199102401733398,18.694682002050733,15.694041669471126,23.363629758460384
ENSDARG00000002912,0.279946700240606,0.09419089361792361,0.4698520888016376,-12.338906,-16.00078773498535,-9.546670913696289,27.973647340638493,22.389178693396907,35.29741233597503
ENSDARG00000003017,0.9177975633279878,0.3891764301593048,1.4921047576116624,-12.219328,-15.47592830657959,-9.803995132446289,27.73449372039542,22.903827130896907,34.24769347916351
ENSDARG00000003250,0.07855075523597964,0.030560297319709395,0.1313121085703187,-9.518655,-12.280113220214844,-7.689230918884277,22.333148429734564,18.674298703772884,27.856063306434017
ENSDARG00000004280,0.11560582104491934,0.03933764122728503,0.20126427434989216,-8.079391,-10.668392181396484,-6.467994689941406,19.454618020160055,16.23182624588714,24.632621228797298
ENSDARG00000004851,0.6082424723079871,0.2748010847769419,0.959222161023401,-13.372667,-16.82545280456543,-10.676276206970215,30.04117108808265,24.64838927994476,36.94674247513519
ENSDARG00000005993,0.7729104252585732,0.2921016367948847,1.2810312619667958,-13.364881,-17.133438110351562,-10.375988006591797,30.025599228246072,24.047812879187923,37.562713086707454
ENSDARG00000006010,0.6515638941316522,0.23022669212198368,1.1012246131279126,-9.0516405,-11.702108383178711,-7.293722629547119,21.399116047007894,17.883282125098567,26.70005363236175
ENSDARG00000006240,0.2717368007547762,0.12480637535152926,0.42857096740466355,-13.401827,-16.75182342529297,-10.687850952148438,30.099491692406993,24.671538770301204,36.79948371659027
ENSDARG00000006257,0.1324143459320244,0.028538946148361333,0.258909920162809,-3.9490318,-6.051132678985596,-2.616079330444336,11.193900377316336,8.527995526893001,15.39810222397552
ENSDARG00000006915,0.4667376957125647,0.19389203025242577,0.7670636550031714,-12.370472,-15.64670181274414,-9.793417930603027,28.03678086529479,22.882672727210384,34.58924049149261
ENSDARG00000007065,0.15551446737795396,0.05663535581620843,0.2581337395866696,-9.833429,-12.659402847290039,-7.950046062469482,22.962696245415067,19.195928990943294,28.614642560584407
ENSDARG00000008573,0.059050146056622996,0.004453999165610641,0.13955931231378854,-0.9651798,-4.299595832824707,2.5096540451049805,5.226196445016127,-1.7234712242056318,11.895028531653743
ENSDARG00000008979,0.5090545591447352,0.17696870328919442,0.8319689634868678,-9.511955,-12.24364185333252,-7.660471439361572,22.319748102409697,18.616779744727474,27.783120572669368
ENSDARG00000009250,0.03449691388921861,0.0074720381614135295,0.06405565206379021,-4.8998895,-6.947761535644531,-3.637145519256592,13.095616382701257,10.570127904517513,17.19135993729339
ENSDARG00000009266,0.48745838824125026,0.1806252409665636,0.8026208440369929,-12.083552,-15.395430564880371,-9.496124267578125,27.462942725760794,22.28808540116058,34.08669799576507
ENSDARG00000009640,0.1213994848706612,0.0447121838434088,0.20974284309230462,-12.174098,-15.761549949645996,-9.344549179077148,27.644031721694326,21.984935224158626,34.81893676529632
ENSDARG00000010169,0.302247507835188,0.13181251019752915,0.5024089428640376,-14.036849,-17.764039993286133,-10.964576721191406,31.3695338374208,25.22499030838714,38.823916852576595
ENSDARG00000010300,0.3486599903513398,0.11119422003900457,0.6379357290543753,-8.077939,-10.748655319213867,-6.340146064758301,19.451714152915333,15.97612899552093,24.793147504432063
ENSDARG00000010316,0.03798633037755182,0.008122666938031318,0.07389764445577333,-4.210921,-6.382375240325928,-2.8874545097351074,11.717678469641069,9.070745885474544,16.060587346656185
ENSDARG00000010437,0.19558917066885403,0.07158851723005147,0.34142142642096424,-8.136266,-10.764814376831055,-6.53302526473999,19.56836916206584,16.36188739548431,24.82546561966644
ENSDARG00000010862,0.7600002043818865,0.3266272895600916,1.2185353408460127,-12.68443,-16.04375648498535,-10.154747009277344,28.664696642739628,23.605330884559017,35.38334983597503
ENSDARG00000011466,0.16058226173974205,0.05557987494965639,0.2751817925538154,-11.991639,-15.611144065856934,-9.15109920501709,27.279114276511525,21.59803527603851,34.518124997718196
ENSDARG00000013079,0.23132559821474655,0.08712340916205198,0.3881107186927659,-12.684214,-16.22651481628418,-9.875768661499023,28.664265207393026,23.047374189002376,35.74886649857269
ENSDARG00000014474,0.6941688284358861,0.291187256498407,1.1219855382519095,-12.272467,-15.539389610290527,-9.8233642578125,27.840770818574285,22.94256538162933,34.374616086585384
ENSDARG00000015088,0.0487230460407864,0.005018309692651355,0.11623128440954549,-1.1157392,-4.56112003326416,1.9825439453125,5.5273154388646875,-0.6692510246206709,12.41807693253265
ENSDARG00000015471,0.13536417910176263,0.03347953655721056,0.26366261880750524,-4.3708763,-6.4631266593933105,-3.0583221912384033,12.037589579982617,9.412481248481136,16.22209018479095
ENSDARG00000015474,0.1721099073500851,0.06198655205969865,0.29406423863849007,-8.746572,-11.35285472869873,-7.037742614746094,20.78897972176776,17.371322095496517,26.00154632340179
ENSDARG00000016866,0.2937412308691543,0.12282187730581157,0.46219361878485776,-12.540574,-15.736352920532227,-9.974259376525879,28.376984831197117,23.244355619056087,34.76854270706878
ENSDARG00000017037,0.024906539057716996,0.0033929264721673106,0.05094827608656533,-3.4598818,-6.058933258056641,-1.747363567352295,10.215600615901806,6.790564000708919,15.41370338211761
ENSDARG00000017188,0.22853396775531337,0.08210428962152218,0.37358110864294825,-9.930768,-12.670646667480469,-7.982573509216309,23.157372911436415,19.260983884436946,28.637130200965267
ENSDARG00000018397,0.13954984361138975,0.04353940150013728,0.24409248395373895,-6.9626803,-9.215503692626953,-5.566547393798828,17.221196809155796,14.428931653601985,21.726844251258235
ENSDARG00000018623,0.4587465119268803,0.16449889857085626,0.7566061716086253,-10.323141,-13.223511695861816,-8.228649139404297,23.94212027607665,19.753135144812923,29.742860257727962
ENSDARG00000018738,0.2091095548961987,0.07849124618816924,0.3525973233402843,-11.03652,-14.123144149780273,-8.716636657714844,25.368877231938697,20.729110181434017,31.542125165564876
ENSDARG00000018788,0.3043472839846669,0.11083537494096503,0.5030003205122331,-10.125723,-13.010894775390625,-8.136798858642578,23.54728247295127,19.569434583289485,29.31762641678558
ENSDARG00000018918,0.263097118482429,0.11794170262080149,0.4420462784784701,-15.205149,-19.397441864013672,-11.883405685424805,33.70613317785964,27.06264823685394,42.09072059403167
ENSDARG00000019791,0.3640888575355363,0.17810269871659043,0.5643582657432973,-14.864871,-18.496267318725586,-11.863187789916992,33.02558102641807,27.022212445838313,40.2883715034555
ENSDARG00000020494,0.10057689084322649,0.035446705822013744,0.17365572369243207,-8.536285,-11.158348083496094,-6.8467912673950195,20.36840731964812,16.989419400794368,25.612533032996517
ENSDARG00000020529,0.32734693037874074,0.15037957249422643,0.5021134323342626,-14.979547,-18.597070693969727,-11.930130958557129,33.254930695159295,27.156098783118587,40.48997825394378
ENSDARG00000021974,0.18318734061282213,0.0421239325226804,0.4464123203996223,-23502.178,-146769.21875,-3.402799606323242,47007.65355771902,10.101436078650813,293541.733336866
ENSDARG00000022845,0.25160185104504046,0.08556007122771687,0.422913137131545,-9.007061,-11.574514389038086,-7.2583746910095215,21.309956587536192,17.812586248023372,26.4448656440805
ENSDARG00000023152,0.27344579826098653,0.11344833786509498,0.4584990385402627,-13.88792,-17.713998794555664,-10.85004997253418,31.07167805014358,24.99593681107269,38.72383445511566
ENSDARG00000024693,1.0635437633595695,0.4255140961100492,1.7575311609953461,-10.806442,-13.751384735107422,-8.690153121948242,24.908720978362417,20.676143109900813,30.798606336219173
ENSDARG00000025420,0.6790518488900705,0.295998097558013,1.2530045642679357,-27960.021,-149500.46875,-10.396352767944336,55923.33874214587,24.088542401893,299004.233336866
ENSDARG00000025421,0.2770753697730944,0.12000416139168853,0.448723982195761,-12.834611,-16.112239837646484,-10.216096878051758,28.965058863742208,23.728030622107845,35.5203165412973
ENSDARG00000025693,0.19664890940674626,0.07066470508705357,0.3313196117731239,-12.348616,-15.884102821350098,-9.55892276763916,27.99306841765151,22.41368240128265,35.064042508704524
ENSDARG00000025788,0.17434231298333586,0.06485594840484474,0.28924572736761167,-9.490726,-12.187959671020508,-7.677282333374023,22.27728938565955,18.650401532752376,27.671756208045345
ENSDARG00000026348,0.2314789478538004,0.09723661628969323,0.37759069314975524,-13.997709,-17.865955352783203,-10.885478973388672,31.291254628999095,25.066794812781673,39.027747571570735
ENSDARG00000027689,0.0350306290567562,0.004160202393578074,0.08032976504253657,-1.4952507,-4.368017673492432,1.2796519994735718,6.286338246090272,0.7365328670571856,12.031872212989192
ENSDARG00000028448,0.05291371151771628,0.004311800781056641,0.12160511455322923,-1.4682992,-4.47353458404541,1.5350251197814941,6.232435208080271,0.22578662644134084,12.24290603409515
ENSDARG00000030106,0.3257658485599794,0.14021047639053158,0.5241607639623971,-12.434971,-15.78606128692627,-9.956832885742188,28.165776912791586,23.209502637488704,34.86795943985687
ENSDARG00000030267,0.06951428297856964,0.017622367818879252,0.12333023072988515,-6.442872,-8.696895599365234,-5.06993293762207,16.181580597741462,13.43570274124847,20.689628064734798
ENSDARG00000030964,0.2970500391060958,0.1223553861610962,0.49091412187798633,-10.980803,-14.004624366760254,-8.770143508911133,25.257443331343985,20.836123883826595,31.305085599524837
