GeneID,Spearman,NRMSE_range
ENSDARG00000043213,0.8571428571428573,0.36526667750120195
ENSDARG00000010862,0.42857142857142866,0.413261610784736
ENSDARG00000074915,-0.10714285714285716,0.4986677275434662
ENSDARG00000103207,-0.6071428571428572,0.5778704159657474
ENSDARG00000005993,0.642857142857143,0.27069467145072884
ENSDARG00000008573,0.6785714285714287,0.3864827105942409
ENSDARG00000076290,0.7142857142857144,0.3481687299177568
ENSDARG00000030267,0.3214285714285715,0.4331771903401564
ENSDARG00000039892,0.03571428571428572,0.5720351678668147
ENSDARG00000071562,-0.3214285714285715,0.40977498761509396
ENSDARG00000009266,-0.642857142857143,0.5069246560331524
ENSDARG00000105276,-0.6071428571428572,0.5517511531112661
ENSDARG00000036155,1.0,0.12669278490824906
ENSDARG00000069328,0.7142857142857144,0.385919395000459
ENSDARG00000052025,0.7500000000000002,0.3437477205160151
ENSDARG00000022845,0.4642857142857144,0.40548612853191
ENSDARG00000025788,0.7142857142857144,0.3967449583599717
ENSDARG00000098689,0.6071428571428572,0.39573032311680895
ENSDARG00000010437,0.6785714285714287,0.40322942503110004
ENSDARG00000061437,-0.5357142857142858,0.5287742718411176
ENSDARG00000079015,0.3571428571428572,0.4608236291439034
ENSDARG00000010300,-0.642857142857143,0.47724076383936426
ENSDARG00000025421,0.14285714285714288,0.419734335842563
ENSDARG00000025420,-0.4642857142857144,0.42649140009767916
ENSDARG00000024693,0.6071428571428572,0.4129858682989776
ENSDARG00000098075,0.8928571428571429,0.321656872927917
ENSDARG00000101542,0.4642857142857144,0.13976841714028357
ENSDARG00000006240,0.6785714285714287,0.324650777999059
ENSDARG00000054501,0.7857142857142859,0.349348359410235
ENSDARG00000035607,0.0,0.4872043375973893
ENSDARG00000063249,0.3571428571428572,0.36630905257215934
ENSDARG00000062363,-0.5357142857142858,0.5285438628483706
ENSDARG00000007065,0.3214285714285715,0.1478202616629422
ENSDARG00000070432,-0.10714285714285716,0.39504344228233207
ENSDARG00000055899,0.0,0.4875906269111559
ENSDARG00000061789,0.642857142857143,0.34240170464414027
ENSDARG00000060510,0.3214285714285715,0.35797134537100256
ENSDARG00000043732,0.10714285714285716,0.4578605494208088
ENSDARG00000004280,0.39285714285714296,0.223676774636779
ENSDARG00000074909,0.8571428571428573,0.2378062565449079
ENSDARG00000042946,0.6785714285714287,0.34311864241390944
ENSDARG00000044513,0.6785714285714287,0.40421037358280776
ENSDARG00000034883,-0.3571428571428572,0.525007822547796
ENSDARG00000060594,0.03571428571428572,0.5409094636157586
ENSDARG00000100519,-0.39285714285714296,0.4309222797788365
ENSDARG00000018623,-0.642857142857143,0.4814879941698789
ENSDARG00000038876,0.7142857142857144,0.4028751463135681
ENSDARG00000006010,0.3571428571428572,0.4445709830163631
ENSDARG00000002298,-0.10714285714285716,0.45741492845587806
ENSDARG00000023152,-0.5,0.5476855887837563
ENSDARG00000003250,0.7857142857142859,0.24619410007487413
ENSDARG00000043021,-0.6785714285714287,0.5463898779609869
ENSDARG00000010169,-0.39285714285714296,0.52464393458611
ENSDARG00000040266,0.3214285714285715,0.5019016754680162
ENSDARG00000008979,0.7500000000000002,0.4117626910351469
ENSDARG00000043734,-0.3571428571428572,0.4894661925150449
ENSDARG00000016866,0.5714285714285715,0.355112042777992
ENSDARG00000027689,0.642857142857143,0.4373596961332118
ENSDARG00000009250,0.8571428571428573,0.12389487730360838
ENSDARG00000105045,0.42857142857142866,0.4399093173968361
ENSDARG00000039913,0.8928571428571429,0.3399836829168392
ENSDARG00000086471,0.6071428571428572,0.33022725155595256
ENSDARG00000004851,0.5714285714285715,0.3740018558191568
ENSDARG00000056695,0.14285714285714288,0.48826626438501747
ENSDARG00000018397,0.14285714285714288,0.4839710436594405
ENSDARG00000057513,-0.10714285714285716,0.5409160848851213
ENSDARG00000006915,-0.642857142857143,0.5428134099187852
ENSDARG00000054799,-0.642857142857143,0.5779497583677549
ENSDARG00000018918,0.1785714285714286,0.543625970749836
ENSDARG00000053876,0.8214285714285715,0.19101249590052116
ENSDARG00000070399,0.9642857142857145,0.2668020422816536
ENSDARG00000035181,0.5,0.448193320832169
ENSDARG00000098317,-0.642857142857143,0.5279647288035163
ENSDARG00000034541,0.7142857142857144,0.2629280615635162
ENSDARG00000033437,-0.39285714285714296,0.5114754428523698
ENSDARG00000033604,0.1785714285714286,0.5032862297371616
ENSDARG00000057867,-0.4642857142857144,0.5365882626185273
ENSDARG00000026348,0.7857142857142859,0.2882909149605178
ENSDARG00000001313,0.42857142857142866,0.41536490146278454
ENSDARG00000017037,0.3571428571428572,0.4229006530026595
ENSDARG00000015474,0.3214285714285715,0.45600148625112996
ENSDARG00000101557,0.3571428571428572,0.4430669853521602
ENSDARG00000031761,0.3571428571428572,0.38910419580952227
ENSDARG00000011466,0.21428571428571433,0.5080857943073984
ENSDARG00000062521,-0.5,0.5245495330424732
ENSDARG00000015088,0.6785714285714287,0.43669856090995857
ENSDARG00000015471,0.28571428571428575,0.43305161152634813
ENSDARG00000018738,-0.39285714285714296,0.5431261184664299
ENSDARG00000056623,-0.5714285714285715,0.5377742799523896
ENSDARG00000020529,0.8571428571428573,0.3208250116959813
ENSDARG00000098820,-0.1785714285714286,0.5118009392913891
ENSDARG00000020494,0.3214285714285715,0.2683683598029115
ENSDARG00000068919,-0.4642857142857144,0.549095879154852
ENSDARG00000101251,0.03571428571428572,0.46230930294092165
ENSDARG00000002021,0.7500000000000002,0.11922860714386097
ENSDARG00000092123,0.21428571428571433,0.4279645839524717
ENSDARG00000098771,0.7142857142857144,0.30713769897358867
ENSDARG00000014474,-0.28571428571428575,0.5028422519482372
ENSDARG00000102874,0.7142857142857144,0.3932931425134822
ENSDARG00000030106,0.7142857142857144,0.3231492678931855
ENSDARG00000035556,0.8928571428571429,0.2806168484422556
ENSDARG00000062695,-0.5,0.5328001538505618
ENSDARG00000062187,-0.5,0.5500263688459812
ENSDARG00000039429,0.7500000000000002,0.1901639365616204
ENSDARG00000010316,0.28571428571428575,0.2919986498899527
ENSDARG00000006257,0.6785714285714287,0.3424025227967307
ENSDARG00000002912,-0.6071428571428572,0.5436165910153852
ENSDARG00000018788,-0.39285714285714296,0.5287224336769184
ENSDARG00000009640,1.0,0.2200127228945557
ENSDARG00000019791,1.0,0.19639652173891445
ENSDARG00000036073,0.3571428571428572,0.48691317870067624
ENSDARG00000025693,0.3214285714285715,0.43735242991333523
ENSDARG00000105185,0.0,0.4621467901878444
ENSDARG00000056414,0.5714285714285715,0.43473431068074886
ENSDARG00000103902,-0.642857142857143,0.5020492586152535
ENSDARG00000032340,0.8214285714285715,0.2892262433786963
ENSDARG00000030964,0.28571428571428575,0.4308860100077807
ENSDARG00000013079,-0.4642857142857144,0.5407262447663636
ENSDARG00000003017,0.28571428571428575,0.4442335006776464
ENSDARG00000043177,0.39285714285714296,0.46642506349064417
ENSDARG00000075314,-0.642857142857143,0.5604390703962209
ENSDARG00000099177,0.6785714285714287,0.3599850704643821
ENSDARG00000056102,-0.5714285714285715,0.5854980781689134
ENSDARG00000021974,0.07142857142857144,0.4325063950492553
ENSDARG00000054473,-0.642857142857143,0.5902711439432405
ENSDARG00000028448,0.1785714285714286,0.44043420435641806
ENSDARG00000017188,-0.21428571428571433,0.4986643205948259
ENSDARG00000055162,0.21428571428571433,0.5585563925725954
ENSDARG00000041140,0.6785714285714287,0.38590124054494734
ENSDARG00000070028,0.5357142857142858,0.45225095793913167
ENSDARG00000062272,0.28571428571428575,0.4737597308703059
ENSDARG00000032516,0.3571428571428572,0.15678035542892937
ENSDARG00000057272,-0.5,0.553405637759931
ENSDARG00000045567,0.8571428571428573,0.3269101250330528
ENSDARG00000093182,0.0,0.5640811451556899
ENSDARG00000076334,0.3214285714285715,0.3517779031153175
ENSDARG00000070604,0.9285714285714288,0.32491836290204323
ENSDARG00000103173,-0.21428571428571433,0.45192376334192075
ENSDARG00000094992,-0.25,0.5196912866627295
ENSDARG00000071868,0.3571428571428572,0.45157111710789016
