Transcript ID	Gene name	Poly(A) tags	Mean TL	Median TL	10th %ile, TL	25th %ile, TL	75th %ile, TL	90th %ile, TL	mRNA RPKM	RPF RPKM	log2(TE)
ENSDART00000091813	ago3b	238	80.3	76.4	14.2	45.6	117.5	149.2	NA	NA	NA
ENSDART00000008355	cfl2	1	16.7	16.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000101726	slc35f2	352	37.7	32.3	11.1	20.2	52.2	67.5	NA	NA	NA
ENSDART00000101724	mos	900	12.2	10.3	0.9	5.3	16.9	24.2	NA	NA	NA
ENSDART00000102381	ube2d3	492	27.5	24.9	8.2	15.1	37.0	51.7	NA	NA	NA
ENSDART00000032141	spon2a	1	32.3	32.3	NA	NA	NA	NA	NA	NA	NA
ENSDART00000145448	anapc13	456	15.2	12.6	3.3	7.5	20.1	28.9	NA	NA	NA
ENSDART00000102384	sesn2	390	17.5	14.0	2.4	7.8	22.2	35.8	NA	NA	NA
ENSDART00000102386	si:ch211-167j6.4	6	29.2	30.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000109894	olfm2a	53	19.2	19.7	3.4	7.5	26.7	40.7	NA	NA	NA
ENSDART00000149371	idh3b	408	27.8	18.9	6.7	12.2	30.5	63.7	26.34	36.1	0.454743491518
ENSDART00000016501	cyp2v1	20	40.5	38.4	15.3	27.5	53.2	72.1	NA	NA	NA
ENSDART00000057700	naa20	130	25.3	21.6	7.8	16.2	30.5	40.0	NA	NA	NA
ENSDART00000086952	st14a	354	54.3	49.7	13.0	27.8	74.5	102.2	32.82	248.97	2.92332476918
ENSDART00000083622	tead3a	10	35.2	30.5	18.1	23.5	47.5	54.1	NA	NA	NA
ENSDART00000008096	aph1b	328	67.1	56.1	16.4	28.8	101.6	129.7	38.08	177.13	2.21770319415
ENSDART00000033093	lad1	3	38.2	29.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000090368	C24H8orf44	172	29.4	24.6	11.1	17.6	38.8	54.9	NA	NA	NA
ENSDART00000024058	kcnh2	1	40.9	40.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000103385	slc25a22	1	2.2	2.2	NA	NA	NA	NA	NA	NA	NA
ENSDART00000144886	dicp1.1	1	10.0	10.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000097691	ncana	3	9.1	8.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000028093	cldn15la	4	30.2	28.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000087426	bcl11aa	15	46.8	50.5	13.6	18.2	69.8	77.7	NA	NA	NA
ENSDART00000111537	zgc:162576	38	22.8	20.0	8.9	13.8	28.8	45.1	NA	NA	NA
ENSDART00000112788	slc39a5	5	20.9	22.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000086165	setd1ba	60	17.9	15.6	2.5	7.0	25.6	35.6	7.68	2.76	-1.47643804394
ENSDART00000089642	FBXO31	18	32.1	25.2	7.4	13.5	46.7	74.4	NA	NA	NA
ENSDART00000073839	slc38a7	225	102.4	110.3	40.0	67.2	137.0	158.7	26.67	192.36	2.85051910132
